;customerID;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges
2276;9168-INPSZ;Female;1;Yes;No;44;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;No;Electronic check;104.15;4495.65
5448;0580-PIQHM;Female;0;Yes;Yes;41;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;No;Yes;One year;Yes;Bank transfer (automatic);101.6;3930.55
1987;5419-KLXBN;Female;0;Yes;Yes;25;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);89.15;2257.75
5822;9112-WSNPU;Female;1;No;No;35;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Electronic check;70.55;2419
6676;5274-XHAKY;Female;0;Yes;Yes;41;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);94.3;3893.6
2559;8263-QMNTJ;Male;0;Yes;No;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;115.55;8425.3
299;6390-DSAZX;Female;0;No;Yes;1;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Mailed check;73.6;73.6
4434;0577-WHMEV;Female;0;Yes;No;16;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;No;No;Month-to-month;No;Electronic check;90.7;1374.9
6260;0458-HEUZG;Female;0;No;No;13;No;No phone service;DSL;No;No;Yes;Yes;No;No;Two year;No;Mailed check;35.4;450.4
2214;8337-MSSXB;Female;0;No;No;14;Yes;No;Fiber optic;No;Yes;No;No;No;Yes;Month-to-month;Yes;Electronic check;86.3;1180.95
5456;8718-PTMEZ;Female;0;No;No;13;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;31.05;347.25
1230;0178-SZBHO;Male;0;Yes;Yes;47;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;No;Electronic check;87.2;4017.45
5549;0329-GTIAJ;Female;0;No;No;3;Yes;No;Fiber optic;No;Yes;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;97.9;315.3
4968;2197-OMWGI;Female;1;Yes;Yes;68;No;No phone service;DSL;No;Yes;Yes;No;Yes;Yes;Two year;Yes;Electronic check;53.0;3656.25
5723;7824-PANSQ;Male;0;No;No;58;Yes;Yes;Fiber optic;No;No;No;Yes;No;No;Month-to-month;No;Bank transfer (automatic);80.65;4807.35
4694;0594-UFTUL;Male;0;Yes;Yes;13;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;19.85;252
4041;5862-BRIXZ;Male;0;No;No;46;No;No phone service;DSL;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);60.75;2893.4
761;1894-IGFSG;Female;0;No;No;22;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;No;Electronic check;89.25;1907.85
2107;7422-WNBTY;Male;0;Yes;No;33;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;93.35;3092
2828;8559-WNQZS;Male;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;20.45;20.45
3610;2612-RANWT;Female;0;No;No;12;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);100.15;1164.3
6494;4310-KEDTB;Female;0;No;Yes;26;No;No phone service;DSL;No;No;Yes;No;No;No;Month-to-month;Yes;Mailed check;29.8;786.5
2940;6313-GIDIT;Male;1;No;No;53;No;No phone service;DSL;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;54.45;2854.55
5525;1333-PBMXB;Female;0;Yes;Yes;54;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Bank transfer (automatic);24.75;1342.15
1636;1371-OJCEK;Female;0;No;No;48;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);24.35;1133.7
3150;6029-CSMJE;Male;0;No;No;17;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;25.65;440.2
2312;8499-BRXTD;Male;0;No;No;18;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;20.1;401.85
3075;5569-IDSEY;Male;0;Yes;No;71;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;One year;Yes;Bank transfer (automatic);105.7;7472.15
1651;8580-AECUZ;Male;1;No;No;1;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;79.1;79.1
3913;8749-TZYEC;Male;0;Yes;No;72;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);24.8;1874.3
4197;5934-RMPOV;Female;0;No;Yes;22;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;84.75;1816.75
5566;2302-OUZXB;Male;0;Yes;No;72;Yes;Yes;DSL;No;Yes;Yes;No;Yes;Yes;Two year;No;Bank transfer (automatic);82.15;5784.3
1743;3768-VHXQO;Male;0;Yes;No;67;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);24.85;1583.5
121;2928-HLDBA;Female;0;No;No;6;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20.7;112.75
2497;5702-SKUOB;Female;0;Yes;No;4;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19.6;93.45
3854;0237-YFUTL;Female;0;Yes;No;50;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);109.65;5405.8
6121;7337-CINUD;Female;0;Yes;Yes;8;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);19.5;159.35
5575;1492-KGETH;Male;0;Yes;Yes;70;Yes;Yes;DSL;Yes;Yes;Yes;Yes;No;Yes;One year;No;Bank transfer (automatic);78.35;5445.95
6743;2740-JFBOK;Male;0;No;No;10;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Electronic check;24.0;226.55
1441;2480-EJWYP;Female;1;Yes;No;58;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;One year;Yes;Bank transfer (automatic);97.8;5458.8
1170;9127-FHJBZ;Male;0;Yes;Yes;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;114.0;8093.15
5478;3374-TTZTK;Male;0;Yes;No;52;Yes;No;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;106.3;5487
3878;2223-GDSHL;Male;0;Yes;Yes;71;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);116.05;8297.5
27;8665-UTDHZ;Male;0;Yes;Yes;1;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;No;Electronic check;30.2;30.2
564;7319-VENRZ;Male;0;No;No;7;Yes;No;DSL;No;No;Yes;Yes;Yes;No;Month-to-month;No;Bank transfer (automatic);64.3;445.95
3490;7743-EXURX;Male;0;Yes;Yes;8;Yes;No;DSL;No;No;Yes;No;No;No;Month-to-month;Yes;Electronic check;51.05;415.05
6184;3413-CSSTH;Male;0;No;No;41;Yes;Yes;DSL;No;No;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);55.7;2237.55
1556;3186-BAXNB;Female;0;No;No;1;Yes;No;Fiber optic;No;Yes;No;Yes;Yes;No;Month-to-month;No;Electronic check;91.7;91.7
5787;6711-VTNRE;Female;0;No;No;36;Yes;No;Fiber optic;No;No;Yes;Yes;No;Yes;Month-to-month;Yes;Electronic check;87.55;3078.1
5090;6502-HCJTI;Male;1;Yes;No;7;Yes;Yes;Fiber optic;Yes;Yes;No;No;No;Yes;Month-to-month;Yes;Credit card (automatic);94.7;673.1
4675;7486-KSRVI;Male;0;No;No;43;Yes;Yes;Fiber optic;No;No;No;Yes;Yes;Yes;One year;Yes;Electronic check;100.0;4211.55
537;5844-QVTAT;Female;0;Yes;Yes;33;Yes;No;DSL;Yes;Yes;Yes;No;No;No;One year;Yes;Mailed check;58.45;1955.4
5971;9800-OUIGR;Male;0;Yes;Yes;66;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);20.0;1374.2
5515;2892-GESUL;Female;0;Yes;Yes;18;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;19.35;309.25
4364;6741-QRLUP;Female;0;No;No;63;Yes;Yes;DSL;Yes;Yes;Yes;Yes;No;Yes;Two year;Yes;Credit card (automatic);80.3;4995.35
6208;0909-SELIE;Male;0;Yes;No;61;Yes;Yes;DSL;Yes;Yes;Yes;Yes;No;Yes;Two year;Yes;Bank transfer (automatic);80.8;4860.85
2903;0953-LGOVU;Male;0;Yes;Yes;12;No;No phone service;DSL;No;Yes;No;Yes;No;No;Month-to-month;No;Mailed check;35.5;432.25
2020;2546-KZAAT;Male;0;Yes;No;52;Yes;No;DSL;Yes;Yes;No;No;Yes;Yes;One year;Yes;Mailed check;75.4;3865.45
3932;1304-NECVQ;Female;1;No;No;2;Yes;Yes;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Electronic check;78.55;149.55
2910;5622-UEJFI;Female;0;Yes;Yes;35;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Credit card (automatic);25.4;949.8
4850;0931-MHTEM;Female;0;No;No;54;Yes;No;Fiber optic;Yes;Yes;No;No;Yes;Yes;One year;Yes;Credit card (automatic);100.05;5299.65
578;6522-YRBXD;Male;1;Yes;No;35;Yes;Yes;Fiber optic;Yes;Yes;No;No;No;Yes;Month-to-month;Yes;Electronic check;94.55;3365.4
4267;1227-UDMZR;Female;0;Yes;No;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);91.15;6637.9
361;5229-DTFYB;Female;0;No;No;41;Yes;No;Fiber optic;No;Yes;No;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);98.8;3959.15
4129;3192-LNKRK;Male;0;Yes;Yes;34;Yes;No;Fiber optic;No;No;Yes;No;Yes;No;Month-to-month;Yes;Mailed check;84.05;2909.95
2902;1658-TJVOA;Female;1;No;No;6;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;74.1;450.9
3083;1599-EAHXY;Male;0;Yes;Yes;60;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Credit card (automatic);23.95;1506.4
2569;8237-ULIXL;Female;0;Yes;No;72;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);24.85;1871.85
4473;2665-NPTGL;Female;1;Yes;No;26;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);98.1;2510.7
6948;2750-BJLSB;Female;0;No;No;47;Yes;No;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;One year;Yes;Electronic check;103.7;4730.6
4123;8910-LEDAG;Male;1;Yes;No;34;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Credit card (automatic);71.55;2427.35
880;9851-KIELU;Male;0;No;No;10;Yes;No;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;110.1;1043.3
5066;7191-ADRGF;Male;0;Yes;No;44;No;No phone service;DSL;No;Yes;Yes;No;Yes;Yes;Two year;No;Bank transfer (automatic);54.3;2390.45
5220;2282-YGNOR;Female;0;No;No;29;Yes;No;DSL;Yes;No;Yes;Yes;No;No;One year;No;Credit card (automatic);58.0;1734.5
9;6388-TABGU;Male;0;No;Yes;62;Yes;No;DSL;Yes;Yes;No;No;No;No;One year;No;Bank transfer (automatic);56.15;3487.95
4023;1686-STUHN;Male;0;No;No;42;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);19.8;849.9
5611;6847-KJLTS;Female;1;Yes;No;58;Yes;Yes;Fiber optic;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);100.4;5749.8
2110;3744-ZBHON;Female;0;No;No;3;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Electronic check;20.2;65.95
2561;3230-JCNZS;Female;0;Yes;Yes;71;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;No;Two year;Yes;Credit card (automatic);99.0;7061.65
1740;1222-KJNZD;Male;0;Yes;Yes;40;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Bank transfer (automatic);20.4;745.3
313;2799-ARNLO;Female;1;Yes;No;5;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;69.35;341.6
6999;2108-XWMPY;Male;0;No;No;3;No;No phone service;DSL;Yes;Yes;No;No;No;No;Month-to-month;Yes;Mailed check;35.45;106.85
4325;2700-LUEVA;Male;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Credit card (automatic);20.75;20.75
5608;9705-ZJBCG;Female;0;Yes;Yes;13;Yes;No;DSL;Yes;No;No;Yes;No;No;One year;No;Bank transfer (automatic);54.15;701.05
4518;8808-ELEHO;Male;1;No;No;8;Yes;Yes;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Electronic check;81.25;585.95
6353;8735-DCXNF;Male;0;Yes;No;10;Yes;No;DSL;Yes;No;No;Yes;No;No;Month-to-month;Yes;Credit card (automatic);54.95;568.85
4225;5345-BMKWB;Male;0;Yes;No;8;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20.25;158.35
3570;6696-YDAYZ;Male;0;Yes;Yes;16;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;20.5;290.55
539;5394-MEITZ;Female;0;Yes;Yes;60;Yes;No;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);80.6;4946.7
2618;1069-QJOEE;Male;0;Yes;Yes;25;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Electronic check;19.9;505.45
2321;9776-OJUZI;Female;1;No;No;65;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);95.45;6223.3
3823;9065-ZCPQX;Male;0;Yes;No;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;No;Yes;Two year;No;Bank transfer (automatic);78.85;5763.15
3262;5498-TXHLF;Female;0;Yes;Yes;34;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;No;Month-to-month;No;Electronic check;87.45;2874.15
1845;4115-UMJFQ;Male;0;No;No;69;No;No phone service;DSL;No;Yes;Yes;No;No;No;One year;Yes;Bank transfer (automatic);35.75;2492.25
1970;5445-UTODQ;Female;0;Yes;No;7;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;81.1;576.65
6529;7235-NXZCP;Male;1;No;No;2;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;74.85;156.4
4684;6305-YLBMM;Male;0;No;No;69;Yes;No;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);104.05;7262
6127;6198-PNNSZ;Female;0;Yes;No;56;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;One year;No;Bank transfer (automatic);109.8;6109.65
512;5956-VKDTT;Female;1;Yes;No;5;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;74.35;334.8
646;0887-HJGAR;Male;0;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;45.7;45.7
3028;8740-XLHDR;Male;0;No;No;5;No;No phone service;DSL;Yes;Yes;Yes;Yes;No;No;Month-to-month;Yes;Mailed check;43.25;219
5295;2144-BFDSO;Female;1;Yes;No;50;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;Month-to-month;No;Bank transfer (automatic);108.75;5431.9
4843;0902-XKXPN;Male;0;Yes;Yes;69;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);20.2;1376.5
6729;2256-YLYLP;Male;0;Yes;Yes;68;Yes;No;DSL;No;No;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);72.95;4953.25
3247;8853-TZDGH;Female;0;No;No;72;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);111.6;8012.75
6245;4759-PXTAN;Female;0;Yes;No;59;Yes;Yes;DSL;No;Yes;No;Yes;Yes;Yes;One year;Yes;Electronic check;80.1;4693.2
975;2834-JRTUA;Male;0;No;No;71;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;108.05;7532.15
5675;4983-CCWMC;Male;0;No;No;3;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;69.6;207.4
5047;8149-AIQCG;Male;0;No;No;39;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);73.15;2730.85
5139;5549-ZGHFB;Male;0;Yes;Yes;50;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;24.95;1261.45
535;5348-CAGXB;Male;0;No;No;12;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;No;Month-to-month;Yes;Electronic check;89.55;1021.75
5857;0378-NHQXU;Female;0;Yes;Yes;17;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;No;Month-to-month;No;Electronic check;88.25;1460.65
1638;8883-ANODQ;Female;0;Yes;Yes;68;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;No;Two year;Yes;Credit card (automatic);84.4;5746.75
6673;3798-EPWRR;Female;1;No;No;2;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check;43.95;85.1
6007;2724-FJDYW;Male;0;No;Yes;39;No;No phone service;DSL;No;No;Yes;Yes;Yes;Yes;One year;No;Bank transfer (automatic);54.85;2191.7
1141;1641-BYBTK;Male;0;No;Yes;6;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;20.2;98.35
241;6614-FHDBO;Male;0;No;No;72;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);109.2;7878.3
2347;7089-RKVSZ;Male;0;Yes;Yes;8;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;24.4;203.95
3110;6569-KTMDU;Female;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19.1;19.1
2984;6765-MBQNU;Female;0;Yes;No;26;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;26.0;684.05
783;4678-DVQEO;Female;0;No;No;1;Yes;No;DSL;No;No;No;Yes;No;No;Month-to-month;Yes;Electronic check;52.2;52.2
3837;3932-CMDTD;Female;0;No;No;4;Yes;No;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;One year;Yes;Electronic check;105.65;443.9
2044;2550-QHZGP;Male;0;No;No;7;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;19.5;128.6
2210;7036-TYDEC;Female;0;No;No;69;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Two year;No;Electronic check;104.0;7028.5
1479;6281-FKEWS;Female;0;No;No;44;No;No phone service;DSL;No;No;Yes;No;Yes;Yes;One year;Yes;Electronic check;49.05;2265
6031;0282-NVSJS;Female;1;Yes;Yes;12;No;No phone service;DSL;No;No;No;Yes;No;No;Month-to-month;Yes;Mailed check;29.3;355.9
640;9574-BOSMD;Male;0;Yes;Yes;68;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);25.4;1620.2
2688;1569-TTNYJ;Male;0;Yes;No;5;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;78.75;412.1
2872;8148-NLEGT;Female;0;Yes;Yes;42;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Electronic check;22.95;1014.25
1854;6702-OHFWR;Male;1;No;No;1;No;No phone service;DSL;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;43.3;43.3
4043;3308-JSGML;Male;1;Yes;No;59;No;No phone service;DSL;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);64.05;3886.85
3835;8194-PEEBY;Female;0;Yes;Yes;24;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;19.9;533.5
4163;9253-VIFJQ;Male;0;Yes;No;65;Yes;Yes;DSL;Yes;Yes;Yes;No;No;No;One year;No;Credit card (automatic);67.05;4309.55
1199;7126-RBHSD;Female;0;Yes;No;17;Yes;Yes;Fiber optic;Yes;No;No;No;No;No;Month-to-month;No;Electronic check;78.9;1348.95
2509;1926-QUZNN;Female;0;Yes;No;72;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);25.25;1841.2
3508;2368-GAKKQ;Female;0;No;No;70;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);113.65;7939.25
1535;7905-NJMXS;Male;1;Yes;No;7;Yes;Yes;DSL;Yes;Yes;No;Yes;No;No;Month-to-month;No;Electronic check;64.2;475
1498;0529-ONKER;Male;1;No;No;15;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Electronic check;75.65;1146.65
3525;5889-JTMUL;Female;1;Yes;No;50;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;No;Month-to-month;Yes;Electronic check;95.05;4888.7
6356;3587-PMCOY;Male;0;No;No;10;Yes;No;Fiber optic;Yes;No;Yes;No;Yes;Yes;One year;Yes;Electronic check;98.9;1064.95
3805;8644-XLFBW;Male;1;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;71.65;71.65
5716;8903-XEBGX;Male;0;No;Yes;2;Yes;No;DSL;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;55.3;108.65
6905;4459-BBGHE;Male;0;No;Yes;30;No;No phone service;DSL;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;44.5;1307.8
2588;5780-INQIK;Female;0;No;No;8;Yes;No;DSL;No;No;No;Yes;No;No;Month-to-month;No;Electronic check;49.4;408.25
29;8773-HHUOZ;Female;0;No;Yes;17;Yes;No;DSL;No;No;No;No;Yes;Yes;Month-to-month;Yes;Mailed check;64.7;1093.1
3725;0968-GSIKN;Female;0;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;70.8;70.8
3463;9576-SYUHJ;Male;0;No;No;37;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;91.15;3369.25
2510;3707-GNWHM;Male;0;No;No;1;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;74.25;74.25
2786;6584-VQMYT;Male;0;No;Yes;27;Yes;No;DSL;Yes;Yes;No;No;No;No;One year;No;Mailed check;56.2;1567.55
5366;8232-CTLKO;Female;0;Yes;Yes;66;Yes;No;DSL;Yes;No;No;No;Yes;No;Two year;Yes;Electronic check;59.75;3996.8
3464;0410-IPFTY;Female;0;Yes;No;31;Yes;No;Fiber optic;No;Yes;No;No;No;Yes;Month-to-month;Yes;Bank transfer (automatic);83.85;2674.15
6301;7872-RDDLZ;Female;1;No;No;67;Yes;Yes;DSL;No;Yes;No;No;No;No;Month-to-month;No;Electronic check;54.9;3725.5
1288;2616-FLVQC;Male;0;No;No;64;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;19.55;1240.15
4731;8748-HFWBO;Male;0;Yes;Yes;19;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;19.9;357.7
1747;3198-VELRD;Female;0;Yes;Yes;3;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Bank transfer (automatic);84.75;264.85
2403;0310-SUCIN;Female;0;Yes;No;71;Yes;No;DSL;Yes;Yes;Yes;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);84.8;6046.1
2932;7740-BTPUX;Male;1;Yes;No;55;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;113.6;6292.7
5395;9095-HFAFX;Female;0;No;No;5;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Credit card (automatic);81.0;389.6
4010;3727-JEZTU;Female;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20.4;20.4
6270;0625-AFOHS;Female;0;Yes;Yes;29;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;20.2;558.8
5939;4712-AUQZO;Male;0;No;No;18;No;No phone service;DSL;Yes;No;Yes;No;No;No;Month-to-month;No;Mailed check;33.6;550.35
4254;2683-BPJSO;Male;0;Yes;No;29;Yes;Yes;Fiber optic;Yes;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;84.45;2467.1
269;7014-ZZXAW;Female;0;Yes;No;71;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Credit card (automatic);24.25;1732.95
6497;4062-HBMOS;Male;0;No;No;52;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;103.05;5364.8
974;0604-THJFP;Female;0;Yes;Yes;59;Yes;No;DSL;No;Yes;No;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);75.95;4542.35
4488;3714-JTVOV;Female;1;Yes;No;42;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);74.15;3229.4
4269;9170-CCKOU;Male;0;Yes;No;17;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;No;No;Month-to-month;No;Credit card (automatic);90.2;1454.15
6380;2378-VTKDH;Male;1;Yes;No;65;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;104.35;6578.55
6894;1400-MMYXY;Male;1;Yes;No;3;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;105.9;334.65
